ID,Class
1022,Vernon
1036,Mahlers2nd
791,CFH
54,Ashbacher
546,Bukowsky
116,Blankenship
672,Peterson
999,Merritt
509,Davisson
176,Vernon
43,Ashbacher
266,Peterson
928,Lee
3,CFH
1008,Merritt
1389,Lawyeraau
44,Ashbacher
93,Blankenship
1220,Comdet
295,Engineer
1497,Walters
123,Brody
1027,Mitchell
247,CFH
50,Ashbacher
758,Koenig
813,CFH
1,Nigam
773,Koenig
1351,Taylor
1060,Mitchell
486,Bukowsky
1029,Mitchell
470,McKee
1150,Engineer
816,Lawyeraau
66,Messick
904,Mahlers2nd
157,Calvinnme
59,Ashbacher
991,Merritt
867,CFH
1072,Neal
438,Riley
58,Nigam
1488,Lovitt
523,Dent
785,Lee
1485,Lovitt
64,Auken
444,Corn
578,Goonan
1049,Messick
1142,Agresti
1489,Cutey
172,Cutey
112,Blankenship
353,Walters
